,level,subject,gender,year,value_perc,category
409,Advanced,Biology,Altogether,2018,32.0,Sciences
410,Advanced,Chemistry,Altogether,2018,39.7,Sciences
411,Advanced,History,Altogether,2018,32.4,Humanistic
412,Advanced,Physics,Altogether,2018,35.0,Sciences
413,Advanced,History of music,Altogether,2018,45.7,Humanistic
414,Advanced,History of art,Altogether,2018,44.4,Humanistic
415,Advanced,Philosophy,Altogether,2018,38.9,Humanistic
416,Advanced,Latin and ancient culture,Altogether,2018,58.0,Languages
417,Advanced,Informatics,Altogether,2018,34.1,Sciences
418,Advanced,Kashubian,Altogether,2018,61.9,Languages
419,Advanced,Lemko ,Altogether,2018,95.0,Languages
420,Basic,Polish ,Women,2019,54.6,Humanistic
421,Basic,Belarusian,Women,2019,75.3,Languages
422,Basic,Lithuanian ,Women,2019,77.5,Languages
423,Basic,Ukrainian ,Women,2019,73.0,Languages
424,Basic,Maths,Women,2019,58.1,Sciences
425,Basic,English,Women,2019,71.5,Languages
426,Basic,German,Women,2019,61.3,Languages
427,Basic,French,Women,2019,80.5,Languages
428,Basic,Russian,Women,2019,67.3,Languages
429,Basic,Spanish ,Women,2019,76.4,Languages
430,Basic,Italian ,Women,2019,81.4,Languages
431,Basic,Polish ,Men,2019,48.5,Humanistic
432,Basic,Belarusian,Men,2019,66.8,Languages
433,Basic,Lithuanian ,Men,2019,73.6,Languages
434,Basic,Ukrainian ,Men,2019,68.7,Languages
435,Basic,Maths,Men,2019,58.8,Sciences
436,Basic,English,Men,2019,73.5,Languages
437,Basic,German,Men,2019,60.5,Languages
438,Basic,French,Men,2019,82.0,Languages
439,Basic,Russian,Men,2019,59.8,Languages
440,Basic,Spanish ,Men,2019,78.5,Languages
441,Basic,Italian ,Men,2019,83.1,Languages
442,Basic,Polish ,Altogether,2019,51.8,Humanistic
443,Basic,Belarusian,Altogether,2019,72.2,Languages
444,Basic,Lithuanian ,Altogether,2019,76.3,Languages
445,Basic,Ukrainian ,Altogether,2019,71.8,Languages
446,Basic,Maths,Altogether,2019,58.4,Sciences
447,Basic,English,Altogether,2019,72.4,Languages
448,Basic,German,Altogether,2019,61.1,Languages
449,Basic,French,Altogether,2019,80.9,Languages
450,Basic,Russian,Altogether,2019,64.7,Languages
451,Basic,Spanish ,Altogether,2019,77.0,Languages
452,Basic,Italian ,Altogether,2019,81.9,Languages
453,Advanced,Polish ,Women,2019,56.4,Humanistic
454,Advanced,Belarusian,Women,2019,100.0,Languages
455,Advanced,Lithuanian ,Women,2019,90.9,Languages
456,Advanced,Ukrainian ,Women,2019,83.3,Languages
457,Advanced,Maths,Women,2019,42.6,Sciences
458,Advanced,English,Women,2019,56.0,Languages
459,Advanced,German,Women,2019,55.7,Languages
460,Advanced,French,Women,2019,66.6,Languages
461,Advanced,Russian,Women,2019,61.9,Languages
